[ 2018-01-30T09:12:44+08:00 ] ::1 /index.php?p=home&c=user&a=login
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.007000s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.001000s ]
INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
SQL: SHOW COLUMNS FROM `user` [ RunTime:0.0020s ]
SQL: SHOW COLUMNS FROM `user` [ RunTime:0.0010s ]
SQL: SELECT * FROM `user` WHERE ( userName='guojiehua' AND passWord='e10adc3949ba59abbe56e057f20f883e' )  [ RunTime:0.0010s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000000s ]
INFO: [ template_filter ] --END-- [ RunTime:0.001000s ]
INFO: Run Behavior\ParseTemplateBehavior [ RunTime:0.010000s ]
INFO: [ view_parse ] --END-- [ RunTime:0.011000s ]
INFO: [ view_filter ] --START--
INFO: Run Behavior\WriteHtmlCacheBehavior [ RunTime:0.001000s ]
INFO: [ view_filter ] --END-- [ RunTime:0.001000s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.001000s ]
INFO: [ app_end ] --END-- [ RunTime:0.001000s ]

[ 2018-01-30T09:12:45+08:00 ] ::1 /index.php?c=index&a=main
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.000000s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.001000s ]
INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
SQL: SHOW COLUMNS FROM `product` [ RunTime:0.0020s ]
SQL: SELECT COUNT(*) AS tp_count FROM `product` LIMIT 1   [ RunTime:0.0000s ]
SQL: SELECT * FROM `product` LIMIT 0,25   [ RunTime:0.0000s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000000s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000000s ]
INFO: Run Behavior\ParseTemplateBehavior [ RunTime:0.023000s ]
INFO: [ view_parse ] --END-- [ RunTime:0.023000s ]
INFO: [ view_filter ] --START--
INFO: Run Behavior\WriteHtmlCacheBehavior [ RunTime:0.000000s ]
INFO: [ view_filter ] --END-- [ RunTime:0.001000s ]
INFO: [ app_end ] --START--
INFO: Run Behavior\ShowPageTraceBehavior [ RunTime:0.001000s ]
INFO: [ app_end ] --END-- [ RunTime:0.001000s ]

[ 2018-01-30T09:12:48+08:00 ] ::1 /index.php?p=home&c=equipment&a=grantEquipment
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000000s ]
INFO: [ app_init ] --END-- [ RunTime:0.001000s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.001000s ]
INFO: [ app_begin ] --END-- [ RunTime:0.001000s ]
SQL: SHOW COLUMNS FROM `zichannews` [ RunTime:0.0020s ]
SQL: SHOW COLUMNS FROM `zichannews` [ RunTime:0.0010s ]
SQL: SELECT * FROM `zichannews` WHERE ( user='郭杰华' OR user='库存' )  [ RunTime:0.0030s ]
INFO: [ view_parse ] --START--
INFO: [ template_filter ] --START--
INFO: Run Behavior\ContentReplaceBehavior [ RunTime:0.000000s ]
INFO: [ template_filter ] --END-- [ RunTime:0.000000s ]
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
NOTIC: [8] Undefined index: zichanNum C:\wamp64\www\Application\Runtime\Cache\Home\91278cccd605923b2aad2d7a7364353e.php 第 1589 行.
